1230,109,34,45,3,27,0,0,0,0
1231,31,26,3,1,1,0,0,0,0
1320,45,10,8,2,25,0,0,0,0
1330,329,162,94,13,60,0,0,0,0
1331,134,113,10,6,5,0,0,0,0
1420,49,16,7,0,26,0,0,0,0
1430,242,148,39,11,44,0,0,0,0
1431,100,85,9,1,5,0,0,0,0
2220,27,10,6,3,8,0,0,0,0
2230,201,50,67,12,72,0,0,0,0
2231,65,52,12,1,0,0,0,0,0
2320,175,40,39,5,91,0,0,0,0
2330,597,269,142,31,155,0,0,0,0
2331,244,216,13,8,7,0,0,0,0
2341,31,30,1,0,0,0,0,0,0
2420,177,51,46,5,75,0,0,0,0
2430,400,235,74,11,80,0,0,0,0
2431,170,145,16,1,8,0,0,0,0
2530,41,25,9,1,6,0,0,0,0
3220,38,11,8,2,17,0,0,0,0
3230,236,51,34,19,132,0,0,0,0
3231,82,53,6,18,5,0,0,0,0
3320,321,121,64,11,125,0,0,0,0
3321,65,6,6,1,52,0,0,0,0
3330,780,253,122,35,370,0,0,0,0
3331,333,171,24,60,78,0,0,0,0
3410,29,7,16,0,6,0,0,0,0
3420,319,96,100,14,109,0,0,0,0
3421,57,10,6,1,40,0,0,0,0
3430,586,231,94,27,234,0,0,0,0
3431,205,110,17,16,62,0,0,0,0
3520,26,9,7,2,8,0,0,0,0
3530,62,20,7,3,32,0,0,0,0
4230,134,20,8,7,99,0,0,0,0
4231,66,7,4,47,8,0,0,0,0
4320,213,86,58,13,56,0,0,0,0
4321,65,3,5,7,50,0,0,0,0
4330,511,115,57,27,312,0,0,0,0
4331,197,19,13,99,66,0,0,0,0
4420,221,89,75,2,55,0,0,0,0
4421,54,2,4,3,45,0,0,0,0
4430,403,131,51,16,205,0,0,0,0
4431,120,16,6,38,60,0,0,0,0
4530,32,6,4,1,21,0,0,0,0
5230,67,8,5,3,51,0,0,0,0
5231,56,7,1,43,5,0,0,0,0
5320,74,21,10,3,40,0,0,0,0
5321,36,1,2,8,25,0,0,0,0
5330,281,35,20,20,206,0,0,0,0
5331,144,9,9,97,29,0,0,0,0
5420,69,18,8,2,41,0,0,0,0
5430,216,48,16,15,137,0,0,0,0
5431,80,12,13,33,22,0,0,0,0
